papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Bruta,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Líq/ Patrim.,Cresc. Rec.5a,Earnings Yield,Valor,Quantidade,Estratégia,Ativos na Carteira,Volume Mínimo,Data,Ranking_EY,Ranking_ROIC,Magic Formula
CEAB3,11.15,5.88,0.93,0.43,0.046799999999999994,0.398,2.14,3.6,-3.77,3.74,2.74,"55,84%",0.11939999999999999,0.0732,1.67,14.7,0.15789999999999998,105901000.0,3702830000.0,0.04,0.09910000000000001,26.7,292687.5,26250.0,Earnings Yield,10,1000000,2026-05-21,,,
IRBR3,53.38,-107.79,0.82,0.882,0.0175,0.283,0.0,11.01,0.0,0.0,0.0,"0,19%",0.0801,-0.008199999999999999,0.0,0.0,-0.0076,40487600.0,5314840000.0,0.00,-0.449,inf,122613.86,2297.0,Earnings Yield,20,400000,2026-05-21,,,
PSSA3,49.22,8.64,2.05,0.761,0.060599999999999994,0.554,4.8,0.92,-4.12,0.55,0.54,"100,00%",0.8240999999999999,0.08900000000000001,1.24,77.6,0.237,92814400.0,15535900000.0,-0.84,0.15810000000000002,181.8,120539.78,2449.0,Earnings Yield,20,400000,2026-05-21,,,
WIZC3,8.13,6.69,1.89,0.966,0.07730000000000001,0.538,35.54,1.93,-2.68,1.92,1.66,"61,24%",0.5003,0.2647,1.06,34.9,0.2826,4445100.0,687369000.0,-0.01,0.1384,52.1,114259.02,14054.0,Earnings Yield,20,400000,2026-05-21,,,
QUAL3,1.86,34.68,0.41,0.38,0.003,0.133,-4.6,0.88,-0.38,2.21,1.52,"87,58%",0.43119999999999997,0.0161,0.92,23.1,0.011699999999999999,8457180.0,1304090000.0,0.61,-0.09609999999999999,45.2,119545.92000000001,64272.0,Earnings Yield,20,400000,2026-05-21,,,
PCAR3,2.17,-0.51,1.61,0.057,0.0,0.066,-0.27,0.65,-0.1,2.62,1.54,"28,23%",0.0872,-0.1112,0.56,12.8,-3.1601,16082000.0,662000000.0,4.84,-0.13419999999999999,38.2,115956.12,53436.0,Earnings Yield,20,400000,2026-05-21,,,
PLPL3,10.41,6.32,1.99,0.622,0.0473,0.481,0.82,2.55,2.88,2.66,2.59,"29,95%",0.2441,0.1131,2.87,29.4,0.3156,65767500.0,1064270000.0,0.08,0.28559999999999997,37.6,108472.2,10420.0,Earnings Yield,20,400000,2026-05-21,,,
BHIA3,1.56,-0.42,0.86,0.051,0.0,0.046,-0.25,0.65,-0.09,3.17,2.19,"30,54%",0.0785,-0.12300000000000001,0.72,10.5,-2.0495,14908500.0,1778000000.0,3.29,-0.0176,31.5,75986.04000000001,48709.0,Earnings Yield,20,400000,2026-05-21,,,
GOAU4,10.25,23.61,0.72,0.196,0.032400000000000005,0.167,0.74,2.19,24.24,3.51,2.2,"12,02%",0.08960000000000001,0.0241,2.76,8.9,0.0304,85379200.0,18917700000.0,0.43,-0.0506,28.5,135945.75,13263.0,Earnings Yield,20,400000,2026-05-21,,,
LREN3,14.7,9.91,1.43,0.929,0.060899999999999996,0.784,3.09,4.04,6.05,3.64,2.69,"61,95%",0.2297,0.09369999999999999,1.77,23.8,0.1441,264829000.0,10366100000.0,-0.14,0.0758,27.5,126170.09999999999,8583.0,Earnings Yield,20,400000,2026-05-21,,,
